"item","price","description"
"Ginger Tonic - Single","5.00","Fresh ginger, honey, and lemon (10 fl oz)."
"Ginger Tonic - Double","6.00","Fresh ginger, honey, and lemon (16 fl oz)."
"Hot Cider - Single","5.00","Hot cider from Terhune Orchards (10 fl oz)."
"Hot Cider - Double","6.00","Hot cider from Terhune Orchards (16 fl oz)."
"Chaider - Single","5.00","50-50 blend of Tough Chai and cider (10 fl oz)."
"Chaider - Double","6.00","50-50 blend of Tough Chai and cider (16 fl oz)."
"Scrooge - Single","7.25","Latte with peppermint and vanilla syrups, whipped cream, and crushed candy cane (10 fl oz)."
"Scrooge - Double","9.50","Double Latte with peppermint and vanilla syrups, whipped cream, and crushed candy cane (16 fl oz)."
"Tiny Tim - Single","6.25","Steamed milk with peppermint and vanilla syrups, whipped cream, and crushed candy cane (10 fl oz)."
"Golden Milk","7.00","Turmeric, ginger, cardamom, black pepper, coconut oil, honey, and oat milk (10 fl oz)."
"Lavender Fog","5.25","Earl Grey with house-made lavender syrup, steamed milk, and microfoam (16 fl oz)."
"NOLA Iced Coffee","5.75","Cold-brewed Crispy Hippie coffee with milk and house-made vanilla syrup."
"Cold Brew","5.75","Morning Glory Blend; rich and chocolatey."
"Iced Americano","4.50","Two shots of espresso in ice water."
"Iced Latte","6.00","Two shots of espresso with milk over ice."
"Iced Mocha","7.50","Espresso, milk, and house-made chocolate syrup over ice; whipped cream optional."
"Iced Shot - Double","4.50","Double shot of espresso over ice."
"Iced Chai","6.00","Iced Tough Chai; made from scratch with spices; milk optional."
"Iced London Fog","5.25","Black iced tea with house-made vanilla syrup and milk."
"Black Iced Tea","4.50","Classic unsweetened black iced tea."
"Green Citron Iced Tea","4.50","Iced jasmine green tea."
"Scarlet Iced Tea","4.50","Iced hibiscus and fruit blend; no sugar added."
"Iced Matcha","8.50","Matcha with oat milk and house-made vanilla syrup over ice (16 fl oz)."
"Iced Ginger Tonic","6.00","Iced ginger, lemon, and honey tonic."
"Cold Brew - Gingerbread Cream","7.75","Cold brew topped with house-made gingerbread cream."
"Cold Brew - Salted Caramel Cream","7.75","Cold brew topped with house-made salted caramel cream."
"Iced Cider","6.00","Cold cider from Terhune Orchards (16 fl oz)."
"Iced Chaider","6.00","50-50 blend of Tough Chai and cider (16 fl oz)."
"Iced Lavender Fog","5.25","Black iced tea with house-made lavender syrup and milk."
"Iced Scrooge","9.50","Iced Latte with peppermint and vanilla syrups, whipped cream, and crushed candy cane (16 fl oz)."
"Iced Tiny Tim","7.50","Cold milk with peppermint and vanilla syrups, whipped cream, and crushed candy cane (16 fl oz)."
"Espresso Cardamom Soda","5.00","Fountain soda flavored with house-made espresso cardamom syrup."
"Italian Soda","4.50","Fountain soda with your choice of flavor."
"Rosemary Citrus Soda","5.00","Fountain soda flavored with house-made rosemary citrus syrup."
"Soda Water","2.00","Seltzer water."
"Mexican Coca Cola","4.25","12 fl oz bottle."
"Spindrift Grapefruit","3.00","12 fl oz can."
"Spindrift Raspberry Lime","3.00","12 fl oz can."
"Topo Chico","3.75","Sparkling mineral water; 11.2 fl oz bottle."
"Bottled Water","1.95","500 ml spring water."
"Tico's Juice - Mango Pineapple Orange","10.95","16 fl oz freshly pressed juice from Tico's in Princeton."
"Blueberry Lemon Scone","3.95","Baked daily in-house."
"Plain Bagel","2.00","Fresh daily from Bagel Nook."
"Raspberry Oat Bar","4.50","Sweet raspberry bar by local baker Sweet Mama."
"Blondie","4.95","Chocolate chip blondie from Sweet Mama's in Princeton."
"Brownie","4.95",""
"Basque Biscuit","1.75","Small World original; rich bite-sized treat."
"Chocolate Chip Cookie","4.95","Large house-made cookie."
"Miso Chocolate Chip Cookie","3.75","Rich, delicious, topped with sea salt (contains soy)."
"Oatmeal Raisin Butterscotch Cookie","4.95","Large house-made cookie."
"PB&J Cookie","4.95","Large house-made peanut butter and jelly cookie (contains nuts)."
"Chocolate Chip Mini Cookie","1.75","House-made mini cookie."
"Pumpkin Bread","3.50","House-made pumpkin bread."
"Nutty Granola (1 lb)","14.95","House-made with oats, almonds, cashews, sesame, sunflower, cinnamon, and honey."
"Grab & Go Granola","6.45","Single-serve portion of house Nutty Granola."
"Overnight Oats","7.50","GF rolled oats, chia, almond milk, maple, cinnamon, sea salt, and fresh berries."
"NOLA Overnight Oats","7.50","Overnight oats with oat milk, brown sugar, and NOLA coffee."
