Item,Price,Description
Veg Manchurian Thai Curry (vegan),20.95,"Minced vegetable balls, simmered in Thai special sauce with ginger & garlic."
Methi Malai Matar,20.95,"A rare blend of chopped fenugreek leaves, rapini, & green peas added with grated cottage cheese."
Dal Tadka (vegan),18.95,Yellow lentils cooked to perfection on slow fire finished with tempered herbs & spices.
Dulkiwali Kashmiri Dum Aloo,20.95,Deep fried Potatoes slowly cooked at low flame in a gravy with spices
Spinach Dal (vegan),18.95,Split lentils with spinach & tempered with herbs.
Dal Makhani,18.95,"A delicious preparation of black lentils simmered overnight with onions, butter & tomatoes finished with light cream & herbs."
Achari Aloo,20.95,"Achari Aloo is a Punjabi potato dish made using pickling spices, slightly tangy and spicy flavors make this dish special"
Mutter Paneer,20.95,It is a North Indian dish consisting of peas and cottage cheese in a tomato based sauce spiced with Indian spices
Aloo Mutter,18.95,Aloo Mutter is a Punjabi dish from the Indian subcontinent which is made from potatoes and peas in a spiced creamy tomato based sauce
Baigan Bartha,20.95,"Smoked aubergine pulp with garlic, red chilies, cumin, green peas and fresh coriander leaves."
Panner Patiala,20.95,Pieces of Paneer marinated and cooked in rich flavours
Paneer Tikka Sizzler,17.95,"Cottage cheese infused with herb spice, bell pepper & glazed golden in tandoor."
Mix Veg Grill Plater,17.95,Seasonal vegetable & cottage cheese marinated grilled to perfection.
Tandoori Pomfret,24.95,"Whole spicy pomfret marinated, flavored with clove & coriander steam."
Chicken Mint Tikka,20.95,Morsels of chicken breast marinated & flavored with toasted with ginger & garlic.
Chicken Malai Kabab,20.95,Chicken cubes green cardamom & saffron marinated tandoori grilled.
Tandoori Chicken,18.95,Tender whole spring chicken marinated then charbroiled in clay oven.
Lamb Seeks Kebabs,22.95,Burnt garlic-infused minced Colorado lamb meat skewer with spices.
Mint Special Platter,26.95,"An exotic medley of assorted kebabs cooked in a clay oven with a combination of chicken tikka, cheese chicken kebabs, malai kebabs, tandoori chicken & lamb boti kebabs."
Hariyali Paneer Tikka,17.95,Cubes of Panner spiced in Mint flavor and cooked in clayoven
Vegetarian Thali,21.95,"2 veg curries, dal, white rice, desert, papad, pickle, roti or naan and along with buttermilk."
Non-vegetarian Thali,22.95,"2 curries, dal, white rice, dessert, papad, pickle, roti or naan and along with buttermilk."
Vegetable Pulav,18.95,Aromatic basmati rice with seasonal vegetables & paneer Infused mild spices & saffron.
Fried Rice,18.95,Steamed rice stir-fried in a wok with veg or egg or chicken or shrimp.
Schezwan Garlic Noodles,18.95,"Vegetables, egg, chicken, shrimp. Thin noodles with mixed vegetables in hot chili-garlic Schezwan sauce."
Hyderabad Dum Pot Biryani,20.95,"aromatic, Indian dish with succulent chicken/other protein choice in layers of fluffy rice, fragrant spices and caramelized onions. : Choice of chicken, lamb, shrimp, fish, goat."
Hakka Noodles,18.95,"Chinese noodles cooked with veggies, stirred vinegar."
Veg Fried Rice,17.95,Steamed rice stir-fried in a wok with vegetables
Veg Schezwan Garlic Noodles,17.95,Thin noodles with mixed vegetables in hot chili-garlic Schezwan sauce.
Paneer Biryani,20.95,"authentic Indian dish with succulent layers of fluffy rice, fragrant spices and caramelized onions With lots of cottage cheese"
Mint Special Shahi Biryani,26.95,"Aromatic Indian dish with succulent pieces of chicken, lamb, goat and shrimp in layers of fluffy rice, fragrant spices and caramelized onions cooked in Dum pot style"
Railway Egg Curry,18.95,Boiled eggs cooked in authentic onion tomato sauce & herbs.
Egg Chilli Masala,18.95,"Fried Eggs tossed well with added sauce, spices and bell peppers"
Roti,4.95,"Unleavened wheat flour pancake, cooked in clay oven."
Naan,4.95,"Leavened baked bread, served plain or with butter."
Garlic Naan,4.95,Garlic flavored naan bread served with butter.
Parathas,9.95,"Aloo, gobi, paneer, plain. An oven-baked wheat bread stuffed with choice of vegetables."
Onion Kulcha,5.95,An oven-baked bread stuffed with tasty onion & cilantro mixture.
Roomali Roti,5.95,The famous homemade handkerchief bread cooked on a dome-shaped griddle.
Assorted Bread Basket,14.95,"Roti, naan, garlic naan, onion kulcha."
Cheese Naan,7.95,Naan stuffed with cheese
Chilli Cheese Naan,7.95,Breads stuffed with cheese and jalapeño
Kerala Malabar Paratha ( 2 Pieces),9.95,Layered flat bread
Lacha Paratha,6.95,
Chicken Tikka Naan,8.95,
Rice,4.95,
Papad,4.95,
Raitha,4.95,
Mango Chutney,4.95,
Moong Dal Halwa,8.95,A rich creamy & pudding-like dessert made with split yellow Moong dal.
Gulab Jamoon,8.95,Milk and cheese balls dipped in rose & honey syrup.
Rasmalai,8.95,"Sweet milk patties, dipped in cardamom flavored milk with pistachio."
Rice Pudding,8.95,"Kheer. Rice pudding flavored with cardamom, raisins, cashew nut, pistachio & almond."
Assorted Mint Special,12.95,"Carrot halwa, Gulab jammed with ice cream."
Hot Brownie Fudge With Ice-cream,12.95,
Tarta,12.95,Homemade cheese cake top with strawberries ice cream.
Sparkling Water,5.95,
Sodas,3.95,"Sprite, Coke, Ginger ale. diet coke"
Rose Lassi,6.95,Traditional yoghurt smoothie in Rose flavor.
Lassi,6.95,"Indian traditional yogurt drink. Choice of mango, strawberry or vanilla"
Indian Filter Coffee,4.95,
Indian Masala Chai,4.95,
Mint Special Lemonade,5.95,Fresh lemon juice infused with mint leaves with pinch of special spices
Butter Milk,5.95,buttermilk is the perfect way to cool off during summer ! This spiced buttermilk is with light flavor that is mildly spicy and tangy
Masala Soda,5.95,
