Item,Price,Description
Pot Roast,27,slowly braised beef served with potatoes and carrots (DF)
Sides,6,french fries | tater tots | mashed potatoes | fried rice | sautéed vegetables | cole slaw | charred snap peas | grilled asparagus | mixed green salad | caesar salad
1 Scoop Ice Cream,4,
2 Scoops Ice Cream,6,"Toppings chocolate sauce, butterscotch, strawberry syrup, maple walnuts, caramelized cacao nibs, amarene cherries, rainbow sprinkles, pecan praline, graham streusel, M&Ms"
Banana Split,12,"3 scoops of ice cream, 3 toppings, whipped cream, cherry"
Waffle Sundae,12,"belgian waffle, 2 scoops of ice cream, 2 toppings, whipped cream, cherry"
Milkshakes,7,choose your flavor & toppings
Floats,7,choose your flavors
Affogato,6,one scoop of your choice of ice cream topped with a shot of espresso Cakes & Pies Carrot Cake • Chocolate Cake • Cheesecake • Apple Pie • Lemon Meringue • Chocolate Cream $9 / Slice Butterscotch Blondie • Chocolate Chip Cookie Bar • Chocolate Chip Brownie $7 / each
Freshly Pressed Juices,7,Green Apple • Grapefruit • Pineapple • Orange • Carrot • Beet • Tomato
ABC,7,"green apple, beet and carrot"
Penicillin,7,"green apple, lemon, ginger, mint"
Fruit Loop,7,"grapefruit, orange, pineapple, green apple"
Mr. Green Jeans,7,"spinach, green apple"
Little Red Wagon,7,"tomato, beet, lemon"
Root Down,7,carrot & beet
Tropical Paradise,7,"pineapple, ginger, green apple, mint"
V-6,7,"tomato, celery, cucumber, carrot, peppers, lemon"
Kids Pancakes,5.5,
Two Eggs & Toast,7,
Kids French Toast,6,
Kids Burger,11,choice of one side
Grilled Chicken Breast,12,choice of one side
Kids Chicken Fingers,13,"ranch and bbq sauces, choice of one side"
Kids Mac & Cheese,10,
Kids Grilled Cheese,10,"american cheese, choice of one side"
Sautéed Fish Fillet,14,choice of one side
Pasta with Butter or Red Sauce,10,
