Item,Price,Description
Curry Noodle,16.95,"Stir-Fried rice vermicelli noodle with egg, onion, bamboo shoot and bell pepper in yellow curry paste and special curry seasoning."
Thai Pan Fried Noodle (lard Na),17.25,"Thai wide noodle with egg, Chinese broccoli, scallions, and garlic in brown gravy sauces. Can be made mild, spicy, or extra hot."
Thin Rice Noodles (pad Woon Sen),16.95,"Thin rice noodle with cabbage, carrot, bamboo shoot, bell pepper, bean sprout, straw mushroom, Thai chili, and scallion in spicy crab brown sauce. Can be made mild, spicy, or extra hot."
Pad Mee,16.75,"Crispy fried egg noodles with Chinese broccoli, bamboo shoot, straw mushroom, scallions, cilantro, and lime leaf served with house gravy fish sauce. Can be made mild, spicy, or extra hot."
Thai Crisp Fried Noodle (mee Krob),16.95,"Crispy fried rice vermicelli with tofu, bell pepper, onion, bean sprout, and cilantro cooked with brown gravy sauce. Can be made mild, spicy, or extra hot."
Namya Noodle,17.75,"House special vermicelli noodle topped with coconut Namya sauce and turmeric yellow curry served with basil, Chinese broccoli, bell pepper, onion and scallion."
Thai Fried Rice,16.95,"Thai fried rice, stir-fried with egg, green peas, carrot, onion, tomato, and scallion. Can be made mild, spicy, or extra hot. Can be made mild, spicy, or extra hot."
Basil Fried Rice,17.95,"Thai fried rice with chili paste, egg, basil, green peas, carrot, onion, bell pepper cucumber and scallion."
Pineapple Fried Rice,17.25,"Thai fried rice with egg, onion, carrot, green peas, bell pepper, pineapple, cashew, and scallion in a pineapple bowl. Can be made mild, spicy, or extra hot."
Thai Drunken Fried Rice,16.95,"Thai fried rice with egg, string bean, shallot, Thai basil, bell pepper, and white mushroom served with chili brown sauce. Can be made mild, spicy, or extra hot."
Curry Fried Rice,17.75,"Thai fried rice with onion, carrot, green peas, bamboo shoot, and bell pepper seasoned with chili yellow curry. Can be made mild, spicy, or extra hot."
Salted Egg Fried Rice,18.95,"Thai fried rice stir-fried with egg, salted duck egg yolk, string bean, bell pepper and scallion in special brown fish paste served with sliced fresh cucumber, carrot, and lime."
Ginger Fried Rice,16.95,"Thai fried rice with egg, ginger, white mushroom, onion, bean sprout, Thai basil, and scallion. Can be made mild, spicy, or extra hot."
Bacon Fried Rice,18.95,"Thai fried rice with egg, green peas, carrot, onion, crumbles bacon, shredded dried pork and scallion."
Panang Curry,19.95,"Panang curry with coconut milk, bell pepper, string bean, pineapple, kaffir lime leaf, and Thai basil. Can be made mild, spicy, or extra hot."
Green Curry,19.95,"Green curry paste with coconut milk, eggplant, bell pepper, string bean, bamboo shoot, and Thai basils. Can be made mild, spicy, or extra hot."
Red Curry,19.95,"Red curry paste with coconut milk, eggplant, bell pepper, tomato, bamboo shoot, and Thai basils. Can be made mild, spicy, or extra hot."
Jungle Curry,19.95,"Jungle curry paste with eggplant, bell pepper, tomato, bamboo shoot and Thai basils."
Yellow Curry,19.95,Rich and creamy curry with a hint of yellow spices.
Basil Chicken,18.95,"Stir-Fried chicken with Thai basil, bell pepper, onion and garlic, served in brown sauce."
Siam Chicken,18.95,"Marinated chicken breast with Thai herbs, snow peas, ginger, bell pepper, cashew, onion, scallion, dry chili, and fish sauce. Served with jasmine rice."
Chicken Cashew,18.95,Sauteed sliced chicken with broccoli and cashew nuts in brown sauce.
Holy Basil Pork (pad Kra Pao),20.95,"Stir-fried ground pork, garlic, onion, ginger, cilantro, chopped string bean, tomato, Thai chili, and Thai basil with brown fish sauce served with a fried egg. Served with jasmine rice."
Thai Sweet & Sour Chicken (pad Preow Wan),18.95,"Chicken stir-fried with tomato, cucumber, onion, bell pepper, pineapple, carrot, and scallion served with house special sweet & sour sauce. Served with jasmine rice. Sweet and Sour"
Thai Beef,20.95,"Stir-fried marinated beef with cabbage, string bean, onion and garlic in brown chili fish sauce."
Thai Stir-fried Beans (pad Prik Khing),18.75,"Stir-fried with string beans, basil, and chili curry paste. Your choice of chicken or beef. Served with jasmine rice."
Garlic & Pepper Pork,20.95,"Stir-fried pork with garlic, white pepper, peppercorn, cilantro and fried shallot in brown fish sauce."
Thai Stir-fried Beef (pad Num Mun Hoy),19.95,"Beef stir-fried with garlic, straw mushroom, bell pepper, and scallion served with black pepper oyster sauce. Served with jasmine rice."
Thai Ginger Mushroom (gai Pad King),18.75,"Stir-fried with ginger, garlic, onion, bell pepper, carrot, zucchini, straw mushroom, scallion, black pepper, and cilantro with special fish sauce. Served with jasmine rice."
Thai Grilled Chicken Breast,19.95,"Grilled special marinated chicken breast served with cucumber, lettuce and tomato."
Chili Chicken,20.95,Fried chicken breast with special chili sauce
Spicy Pepper Prawn,23.95,"House special pan-fried prawn with Thai chili, garlic, scallion, and glass noodle in chili brown sauce."
Thai Curry Salmon (choo Chee Pla),23.95,Grilled salmon in Thai choo chee sauce with coconut milk and lime leaf. Served with jasmine rice.
Thai Seafood Mix (seafood Nam Prik Pao),22.95,"Shrimp and calamari stir-fried with ginger, onion, garlic, baby corn, carrot, Chinese broccoli, Thai basil, and scallion in chili paste sauce. Served with jasmine rice."
Basil Scallop,26.95,"Stir-fried fresh scallop with eggplant, Chinese broccoli, Thai basil, bell pepper, baby corn and scallion in chili basil sauce."
Garlic & Pepper Soft Shell Crab,29.95,"Fried soft shell crab with garlic, onion, black pepper, ginger, Thai chili and scallion served with sliced cucumber, lime and chili fish sauce."
Spicy Crispy Tofu,18.95,"Fried tofu with garlic, onion, scallion, bell pepper, peanut, and Thai basil in special chili lime sauce. Served with jasmine rice. vegetarian and spicy"
Thai Basil Tofu,17.95,"Stir-fried steam tofu with onion, bell pepper, Thai basil, garlic, scallion and Thai chili."
Garlic Chinese Broccoli,16.95,Stir-fried broccoli with garlic seasoning.
Thai Sweet & Sour Vegetable (priew Wan),16.95,"Stir-fried tofu, carrot, white mushroom, zucchini, bell pepper, cucumber, onion, and scallion with sweet and sour sauce. Served with jasmine rice. vegetarian and sweet and sour"
Stir-fried Mixed Vegetable (pad Pak Ruam Mit),16.95,"Broccoli, carrot, baby corn, white mushroom, snow peas, and bell pepper with brown sauce. Served with jasmine rice."
Vegetarian Mock Duck/chicken,19.95,"Stir-fried Mock duck/chicken with string bean, onion, carrot, zucchini, Thai basil and bell pepper in brown sauce."
Stir-fried Eggplant,18.95,"Stir-fried eggplant with garlic, scallion, bell pepper, Thai basil, and Thai chili in chili gravy sauce. Served with jasmine rice."
Thai Style Green Bean,16.75,"Stir-fried green bean, garlic, scallion, shallot, dry bean sprout with sesame seed, and fish sauce. Served with jasmine rice."
Massaman Chicken,19.95,"Chicken with coconut milk, onion, potato, pepper, and ground peanut cooked in the massaman sauce. Served with jasmine rice."
Basil Duck,25.95,"Marinated duck roasted with pineapple, tomato, string bean, peppercorn, basil, and herbs in special panang curry sauce. Served with jasmine rice."
Crispy Sweet Sour Fish,20.95,"Swai fillet fish with ginger, scallion, carrot, string beans, lime leaf, cilantro, and chili in house special white sweet-sour sauce. Served with jasmine rice."
S10a Beef Flank Noodle Soup (thin/wide Noodle),18.95,"Braised beef flank tender soup with cabbage, carrot, scallion, and cilantro served with rice noodle."
Curry Duck,25.95,"Red curry paste with coconut milk, bell pepper, tomato, potato, pineapple, lime leaf, fresh mint, and ginger. Served with jasmine rice."
Spicy Seafood With Thai Herb (pad Talay),24.95,"Jumbo shrimp, scallop, calamari, garlic, onion, scallion, bell pepper, peppercorn, and Thai basils in house special chili and lime sauce. Served with jasmine rice. Spicy"
S7a Pineapple Coco Shrimp,24.95,Fried house special marinaded shrimp with pineapple in sweet coconut curry sauce.
House Noodle (kway Teow),18.95,"Wide rice noodle with egg, onion, garlic, bell pepper, bean sprout, and Thai basil with special house sauce. Served with jasmine rice."
Tom Yum Seafood Noodle Soup,24.95,"Tom yum soup based with scallop, calamari, shrimp and mixed vegetable."
S8a Pad Basil Duck,25.95,"Stir-fried roast duck with onion, pepper and Thai basil in brown sauce."
S4a Seafood Deluxe Fried Rice,21.95,"Thai fried rice with egg, seasonal seafood mix, fish roe, carrots, green peas, onion and scallion in special house fish sauce."
Holy Basil Pork Fried Rice,19.95,"Thai stir-fried rice with ground pork, garlic, onion, ginger, cilantro, chopped string bean, tomato, thai chili, thai basil and scallion with brown fish sauce."
Mango Delight,18.95,Mango with bell pepper and dry chili in sweet and sour sauce served in a mango peel. Served with jasmine rice.
S5a Talay Lard Na,24.95,"Thai flat rice noodles topped with jumbo shrimp, scallops, calamari and mixed vegetable in chef's special sauce."
S6a House Delight,22.95,"Fried tofu topped with shrimp, chicken, straw mushroom, broccoli, baby corn and Thai basil in house special sauce."
Jasmine Rice,2.5,
Peanut Sauce,1.8,Rich and creamy sauce made with peanuts.
Sticky Rice,3,
All Other Sauces,1.5,Hot Sauce/Chili Oil/Chili Powder/Soy sauce/Dumpling Sauce
Sweet Chili Sauce,1.5,Spicy and sweet condiment made with chili peppers.
Brown Rice,3.25,
Fresh Mango Sticky Rice,8.95,Sweet and fragrant Thai dessert featuring fresh mango and sticky rice.
Fried Vanilla Ice Cream,9.95,"Creamy vanilla ice cream, crispy on the outside and smooth within."
Mochi Ice Cream,9.95,Soft and chewy Japanese-style ice cream treats.
Ramune Japanese Soda,5,Fizzy Japanese soda with a unique bottle design.
Soda (can),3.5,
Thai Iced Tea,5,
Thai Iced Coffee,5,Thai ice/hot coffee with milk and condense milk.
Lemongrass Basil Mint Iced Tea,5.5,"Sweet ice tea with lemongrass, basil, mint and a hint of lime added."
Bottled Water,3,
Iced Unsweetened Tea,4,Jasmine/green/oolong
Perrier,4.5,
Apple Juice,3.5,
Organic Lemonade,5,
