Item,Price,Description
"Chloe's Garden Wrap","15","Hummus, roasted beets, spinach, herbed feta, pickled onions, chimichurri, marinated chickpeas in GF tortilla"
"Katie's Chicken Sandwich","17","Roasted chicken, roasted red peppers & tomatoes, basil aioli, arugula on baguette"
"Marie's Chicken Caesar Wrap","16","Roasted chicken, romaine, shaved parmesan, pickled onions, caesar in GF tortilla"
"Martha Stewart’s Pecan Streusel Cake","5.5","Sour cream coffee cake with cinnamon pecan streusel and glaze"
"Martha Stewart’s Kitchen Sink Cookie","5","Dark chocolate, coconut, sour cherries, apricots, toasted pecans"
"Martha Stewart’s Chewy Chocolate Gingerbread Cookie","5","Ginger, cinnamon, cloves, nutmeg, molasses, chocolate chunks"
"Martha Stewart’s Lemon Crème Brûlée Sugar Bun","7","Croissant bun with lemon-vanilla cream, caramelized top"
"Martha Stewart’s Golden Potato Gratin Tart","11","Yukon gold potatoes, gruyère, comté, béchamel, roasted garlic, red onions, dijon, rosemary"
"Old-Fashioned Apple Turnover","6","Puff pastry, slow-roasted apples, cinnamon, cardamom, crunchy sugar"
"Double Chocolate Croissant Cube","6","Chocolate croissant dough with chocolate cream, torched meringue, cookie crumble"
"Cranberry & Blood Orange Croissant Swirl","6","Croissant swirl with cranberry–blood orange jam and white-chocolate glaze"
"Speculoos Spice Cookie","4.5","Cinnamon, cardamom, ginger, nutmeg, cloves, allspice"
"Vegan Sesame Tahini Dark Chocolate Cookie","4.5","Sesame and dark chocolate chunks"
"Vegan Pumpkin Spice Carrot Cake","5","Carrot cake with warm spices; topped with pumpkin seeds"
"Croissant","4","Classic butter croissant"
"Vegan Croissant","4.5","Plant-based croissant"
"Everything Croissant","4.75","Croissant with everything seasoning"
"Pain au Chocolat","4","Chocolate croissant"
"Almond Croissant","5","Frangipane-filled; sliced almonds, powdered sugar"
"Chocolate Almond Croissant","5","Frangipane and dark chocolate; sliced almonds"
"Pistachio Chocolate Croissant","5.5","White-chocolate pistachio ganache, dark chocolate, crushed pistachios"
"Kouign Maman","6","Caramelized layered pastry"
"Cinnamon Bun Kouign Maman","6.5","Kouign-amann with cinnamon-bun twist"
"Nutella Beignet","6","Fried brioche stuffed and topped with Nutella"
"Nutty Chocolate Chip Cookie","4.5","Macadamias, almonds, walnuts, dark chocolate wafers"
"Classic Chocolate Chip Cookie","4.5","Nut-free chocolate chip cookie"
"Chocolate Sandwich Cookie","3.5","White-chocolate ganache between chocolate wafers"
"Nutella Brownie","4.5","Fudgy chocolate-hazelnut brownie with salted caramel and chocolate pearls"
"Banana Chocolate Walnut Bread","4.5","Banana bread with spices, dark chocolate, walnuts"
"Pistachio Orange Cake","5.5","Orange-scented tea cake with pistachio paste and glaze"
"Thyme Blueberry Goat Cheese Scone","4.75","Blueberry jam, thyme, goat cheese scone"
"Cheddar Scallion Scone","4.75","Savory scone with cheddar, scallions, hot honey"
"Martha Stewart’s Pomegranate Punch","8","Pomegranate & blood orange juice, ginger syrup, sparkling water, mint, pomegranate seeds"
"Hazelnut Latte (House-made)","6.25/7.25","Latte with candied hazelnut bits; hot or iced"
"Fleur de Sel Caramel Latte","6.5/7.5","House caramel latte; hot or iced"
"Chocolate Milk Matcha Latte","7.25/8.25","Chocolate milk + matcha; mint cocoa whipped cream, cacao nibs; hot or iced"
"Drip Coffee","3/4","House brew"
"Espresso","3.5","Double shot"
"Americano","3.5/4.75","Double or triple with hot water"
"Macchiato","4","Double with a dollop of steamed milk"
"Cortado","4","Double espresso with equal parts steamed milk"
"Cappuccino","4.75","Double espresso with foamed milk"
"Flat White","4.75","Double espresso with steamed milk"
"Latte","5.25/6.5","Double or triple with steamed milk"
"Salted Tahini Honeycomb Latte","6.25/7.25","Espresso, tahini-honey sauce, milk; sesame crumbs"
"Honey Lavender Latte","6/7.25","Espresso with honey-lavender syrup; hot or iced"
"Mocha","5.75/7","Espresso with cocoa and steamed milk"
"Hot Chocolate","5.5/6.5","Classic hot chocolate"
"Kid's Hot Chocolate","4","Lukewarm hot chocolate"
"Lavender Hot Chocolate","6.25/7.25","Hot chocolate with lavender"
"Chai Latte","6/6.5","Dona chai with steamed milk; hot or iced"
"Matcha Latte","6/7","Matcha with steamed almond milk; hot or iced"
"Hot Tea","4.25","Selection of Sloane teas"
"Iced Tea","4/4.5","Crimson berry, peach mango green, or black citron"
"Iced Coffee","4.25/5.25","Flash brewed over ice"
"Cold Brew","4.75/5.75","Slow-steeped cold brew over ice"
"Fresh Orange Juice","6/7","Fresh-squeezed"
"Fresh Grapefruit Juice","6/7","Fresh-squeezed"
"Alain Milliat Juice","6","Seasonal selections"
"BKE Kombucha","8","Seasonal selections"
"Belvoir","3.5","Seasonal selections"
"Grilled Cheese","6","On country bread"
"Maman’s Scramble","6","Two eggs with choice of comté, roasted tomato, or roasted red pepper"
"Papa’s Potatoes","6","Roasted potatoes"
"AB&C","7","Almond butter and seasonal fruit compote on toasted country bread"
